,Eigen-Patient
GLIS2,-0.07991345699961727
PDPN,-0.07970352792342274
WISP1,-0.0795648994527634
DUSP6,-0.07950563011740501
FAM20A,-0.07864958102213922
GPX8,-0.07837435279811707
MMP13,-0.07833346828118933
PDGFRL,-0.07787511343841001
PTPN7,-0.07741261076452931
ARHGAP4,-0.07727567979157662
PPP1R16B,-0.07697180538669858
CYTIP,-0.07662804251552831
GFPT2,-0.07625598811711275
ALPL,-0.07620909168303805
SPOCK1,-0.07611272264817241
ACTG2,-0.07545916043024967
IL4I1,-0.0748016036992177
ZNF469,-0.07473895805662197
DERL3,-0.07464947768713487
COL17A1,-0.07450832318910362
BICC1,-0.07395594837881385
TRAF3IP3,-0.07389788365172066
S1PR1,-0.07351679219902474
PARP9,-0.07344920292494486
EVI2A,-0.0734235201808188
ALOX5AP,-0.07319457555195961
PROS1,-0.07297448770401875
ADAMTS12,-0.07287567308102352
RELB,-0.07266242071225203
EHF,-0.07262722780932285
CD86,-0.07231314561204442
ECM2,-0.07226424814532566
STOM,-0.07190043376581264
TFRC,-0.07172868870244951
OGN,-0.07155721740584721
NPL,-0.07150174275984092
NEDD9,-0.07145035664223963
SNX20,-0.07122858327693465
GMFG,-0.0711049500869515
CFI,-0.07076123978834108
SOAT1,-0.07045402485029137
GIMAP7,-0.07039817468438311
ELMO1,-0.07009550568802281
ALDH1B1,-0.07004422478482576
CAMK2D,-0.06958369469623499
FBLIM1,-0.06955201056270541
NMI,-0.06939800364509786
NFATC2,-0.06935474403978749
APLNR,-0.06886949424407687
GYPC,-0.06885384891167014
DLC1,-0.06869344442039378
CPM,-0.06865309447375331
BOC,-0.06836808157715514
GBP3,-0.06803692209202707
BST2,-0.06798577808073455
BIN2,-0.06794817887788117
TSHZ2,-0.06676040326814063
MICAL2,-0.06642287368141568
CHST3,-0.0662573199266483
MNDA,-0.06616698724667812
SLC16A3,-0.06613755739569359
IFIT2,-0.06611986264126815
NLRP1,-0.0659206759536752
ADAM8,-0.06591139367479426
PRICKLE1,-0.06548347810047696
MMRN2,-0.06546791277623713
CCDC71L,-0.065205888890635
SLC43A2,-0.0651301201993803
LTBP4,-0.06420067063513367
ID3,-0.06418799488656862
NT5E,-0.06370436607514576
IL33,-0.06357901268750274
AC008964.1,-0.06323823569952929
ADAMTS4,-0.06317320634572834
CLEC7A,-0.06290523457696535
ELTD1,-0.06275763322633286
MAPRE2,-0.06271644758003378
PLEKHS1,-0.06265872131672988
MLXIP,-0.06246497802148052
LPCAT2,-0.062280173030786166
BIN1,-0.06176770411358494
PXDC1,-0.06165384199383909
PRKAA1,-0.06164586954284449
SAMD9,-0.06161367315388621
FZD4,-0.061520347303215865
OLR1,-0.061314374068707225
MICAL1,-0.060710565548679526
CD5,-0.060670589657258626
MS4A4A,-0.06012353215103861
CLIC2,-0.05991133749691498
MBP,-0.05985045649810392
PALMD,-0.05928126527605747
KLHL6,-0.05927888438743353
S100A16,-0.05926828362443081
NABP1,-0.05913819299738917
FCGR1A,-0.05892865592117098
PGM1,-0.058787590552435036
NFAM1,-0.05870527280193735
ZNFX1,-0.058648460057767346
CDC25B,-0.058299866207602385
TCF7L1,-0.058126724836408336
SECTM1,-0.05762380004978944
HSD17B11,-0.05750118118634853
PLEKHG1,-0.05748184661110347
NREP,-0.057439166803131485
PSME4,-0.057221844266168366
F2RL2,-0.05718259752510539
GIMAP8,-0.05663911858671973
RDX,-0.05663153014499518
TFEC,-0.056581329792369996
VAV1,-0.05644265394796642
VAMP5,-0.05643190340244579
PABPC1,-0.05593927677791795
C1QTNF5,-0.05590039641331389
ANXA3,-0.05533372341931087
MZB1,-0.055138670737970616
MOXD1,-0.05511120894912381
IL6R,-0.05489543952368259
MPP1,-0.054556642141538554
ADCY3,-0.054538126543535244
ARHGAP26,-0.054452710510999605
PCDH18,-0.054383381645138784
EGR3,-0.05434589543205545
RASAL3,-0.05415729613095725
METTL7A,-0.05393281019736677
ITGB7,-0.05371415752744953
JAK2,-0.05312586376987898
OAS3,-0.05291337729297918
PDZD2,-0.0527663941648755
ATP11B,-0.052746333614702816
ST8SIA4,-0.052727963589634885
PAG1,-0.05269766059522261
KLF4,-0.0522617111143462
WAS,-0.05223546981548327
RGS10,-0.052104769148574974
FZD1,-0.052029925907894105
ARHGAP9,-0.05194019971461005
PELI1,-0.05167796884864213
PAPLN,-0.05153268746609177
MMP3,-0.05145219662489831
LIPE,-0.05141464378896765
VGLL3,-0.05139596863443384
FGF7,-0.051381867368448964
MPZL2,-0.05096308791490926
KLF2,-0.050737350047677175
TP53BP2,-0.05066201322714184
NFKBIE,-0.05048552676542874
SPHK1,-0.05036501418447332
MIEN1,-0.04991236694631977
FAS,-0.04989704453028974
KIAA1199,-0.049612898070180315
NME1-NME2,-0.049544851633556604
NFIL3,-0.04946078159714932
ARID5A,-0.049324261539052804
RNF144A,-0.04928997202177389
ACOT9,-0.049190253930140385
SRPX,-0.048794030797800245
SKAP2,-0.0487463248304407
RPS6KA2,-0.048490684435338334
FAM171A1,-0.04828794766164247
SLC25A37,-0.04825955075508036
HSPB6,-0.048033251354332306
PHACTR2,-0.04803056078306592
GPCPD1,-0.04765491869004345
ALDH1L2,-0.047400306694648314
GLT8D2,-0.0473999253330128
KDELC2,-0.04732847531262673
ST14,-0.04715549174538276
DGAT2,-0.04697706523028317
GXYLT2,-0.0463451657481627
RNASET2,-0.04632957796567289
CSRNP1,-0.04600899532445904
ZNF521,-0.04586007633777402
MMP19,-0.04578574701972398
MYO1G,-0.045316019231315126
FLRT2,-0.044849886405844
GNG11,-0.04474993335143513
CMTM7,-0.04472847593731054
DPP4,-0.04438813346767993
TNFRSF12A,-0.04434511447470669
LMOD1,-0.04431000052423008
SOD3,-0.04430069176685246
PTPRB,-0.0441643861821349
FAM78A,-0.04410453166108068
GPR116,-0.04409431041948166
KLF9,-0.043656763771205365
PVRL1,-0.04359976654473612
DENND3,-0.04357588942876234
C1QTNF3,-0.043531177767265505
BTK,-0.043525365602343026
GJA5,-0.04330957732457699
MAP4K1,-0.04317209242265702
TMC6,-0.04311375264987069
MYO10,-0.04300840877115402
FAIM3,-0.04290168273255584
TCIRG1,-0.042817238357425964
TREM2,-0.04278853919829148
ITGA4,-0.042694360117101676
IL15RA,-0.042665113918445366
FAM126A,-0.042494687307112824
FAM49A,-0.042308327803991304
TBC1D10C,-0.04210771830610433
ANK2,-0.042044945784493706
SYT11,-0.042043871914433095
PARP12,-0.04198984186394915
FOLR2,-0.0419704115693602
PIK3R5,-0.04188403131076494
SP110,-0.04186582488116168
DAPP1,-0.04164919939475179
ANP32E,-0.04156283535719218
SIGLEC10,-0.04143590204127568
SH3BP5,-0.04129881970468064
PDE7A,-0.04082459559932146
PPP1R12B,-0.04081633544801469
SH3BP1,-0.0407344321635823
PPP1R14B,-0.040617827838666014
SAMSN1,-0.040613076802648036
MT1X,-0.040502573965536554
PTGER4,-0.0402194879303755
UNC5B,-0.040208520092510774
MATN2,-0.040164970938026914
OGFRL1,-0.040154933313976175
SLIT2,-0.04002983380472098
CARD11,-0.04001187450390969
RUNX2,-0.0397108615604587
SLC31A2,-0.039332479488035386
GLRX,-0.03928501899497827
CLSTN3,-0.03897159902926829
VPS13C,-0.03894341386343169
SIK1,-0.03879305394195678
RASGEF1B,-0.038758626622456105
RHBDF2,-0.0385977273092733
PPAP2A,-0.038446108710982176
APOL4,-0.03839728714782663
C1orf106,-0.038343520423386665
ARHGAP23,-0.038185160945354055
APCDD1,-0.038168911220193995
CDC42EP3,-0.038131107711827664
TEAD2,-0.038092035990330265
TMEM45A,-0.03760777618511112
SNAI2,-0.037359508606250584
IL21R,-0.03706550399326365
FAM26F,-0.03663706463375211
LRIG3,-0.036557530984816795
SPNS2,-0.03638091525131024
TFPI,-0.035811765282438915
CHST2,-0.03578419746855602
ADAMTS9,-0.035761747908263315
FRMD4A,-0.03562691361116881
MOB3B,-0.03543632676477967
ISG20,-0.03523417671329843
TSPAN33,-0.03516616277713092
MYO1D,-0.034990261080382695
GAL3ST4,-0.034703021647889735
DOCK4,-0.0345642546373679
LAT2,-0.03400650315583545
PDLIM3,-0.03393430639561233
ARHGAP21,-0.033833986187328684
NCF1,-0.033755205262521584
JAM2,-0.03357675662629049
MFNG,-0.03348912344391129
G6PD,-0.03344037123550117
C19orf66,-0.03337657042552538
MGLL,-0.033266348296701755
MFHAS1,-0.03325707214655757
RECK,-0.03306123153850509
TSPAN7,-0.033019089431407966
APOBEC3B,-0.033002665729142525
DEGS1,-0.03287714596517945
ATP11C,-0.03283486213901533
LILRB2,-0.03272081518058415
PER1,-0.0322324375858211
KIAA1549L,-0.03201930875276492
WLS,-0.031913994197725414
ERO1L,-0.03187263980191877
GIMAP1,-0.03143307287968304
RNF150,-0.031381451616907106
SELE,-0.03136501480549362
DMD,-0.03128872366560684
CES1,-0.031219015447316627
LAT,-0.031213760646237328
LILRB1,-0.03119085342757772
RGCC,-0.031027899432963815
TIE1,-0.030664776239574313
PPL,-0.03042725470080033
CRYBG3,-0.030338801810234
SAMD4A,-0.030250953507446394
CST7,-0.03016832734462339
JAM3,-0.03011074629602158
CXorf36,-0.030023790551583017
IL18,-0.030010919222511177
CLEC2B,-0.030008130850338686
SH2D3C,-0.02994735245635343
CASP10,-0.029920118649042614
LENG8,-0.029857379514410677
CLTB,-0.02984618480272575
AKR1C3,-0.02981406036586698
GNG12,-0.02944184385811633
DACT1,-0.029204831152696335
MBNL3,-0.028938242883207708
RNF19A,-0.028861306153590803
DYRK2,-0.02883200451419576
RBM38,-0.028706583477950205
WNT2,-0.028687947909193573
MID1,-0.028514487343354773
PLSCR4,-0.028463419533669054
KIF21B,-0.02837550612799811
BTN2A2,-0.02790076533145347
KLF7,-0.027863937179739447
