,Proliferation,,,,,,,,
TCGA-55-7728,-0.370496875,,,,,,,,
TCGA-75-7030,-0.542639013,,,,,,,,
TCGA-62-8397,-0.496025311,,,,,,,,
TCGA-38-4632,-0.133971843,,,,,,,,
TCGA-99-8032,-0.100023363,,,,,,,,
TCGA-62-A472,-0.263846786,,,,,,,,
TCGA-95-7039,-0.200589907,,,,,,,,
TCGA-MP-A4SY,-0.162257666,,,,,,,,
TCGA-05-4244,0.053432874,,,,,,,,
TCGA-44-8120,-0.172957361,,,,,,,,
TCGA-69-A59K,-0.138311394,,,,,,,,
TCGA-97-A4M2,-0.495142888,,,,,,,,
TCGA-44-3398,-0.331746337,,,,,,,,
TCGA-50-5049,-0.244416863,,,,,,,,
TCGA-55-A4DF,0.04994766,,,,,,,,
TCGA-78-7161,-0.260987946,,,,,,,,
TCGA-95-8039,-0.196399966,,,,,,,,
TCGA-50-5045,-0.283429368,,,,,,,,
TCGA-55-8204,0.001912307,,,,,,,,
TCGA-44-2666,-0.207582687,,,,,,,,
TCGA-49-AAQV,-0.074290519,,,,,,,,
TCGA-35-5375,-0.235487456,,,,,,,,
TCGA-55-7914,-0.148147115,,,,,,,,
TCGA-64-5779,-0.133339834,,,,,,,,
TCGA-50-6673,-0.298835232,,,,,,,,
TCGA-MN-A4N5,-0.084021574,,,,,,,,
TCGA-44-A47A,-0.206866364,,,,,,,,
TCGA-50-6594,-0.110528894,,,,,,,,
TCGA-73-A9RS,-0.077916787,,,,,,,,
TCGA-91-6830,-0.397217179,,,,,,,,
TCGA-67-6216,-0.309731685,,,,,,,,
TCGA-44-7670,0.095129841,,,,,,,,
TCGA-78-7145,0.074154746,,,,,,,,
TCGA-NJ-A4YI,-0.402888554,,,,,,,,
TCGA-95-A4VK,-0.194184302,,,,,,,,
TCGA-55-7726,-0.059257393,,,,,,,,
TCGA-55-8513,-0.536865543,,,,,,,,
TCGA-93-7348,-0.479348361,,,,,,,,
TCGA-75-7025,-0.452350841,,,,,,,,
TCGA-05-4250,0.157517801,,,,,,,,
TCGA-93-8067,0.175695284,,,,,,,,
TCGA-55-7995,0.062213304,,,,,,,,
TCGA-35-4123,0.006869411,,,,,,,,
TCGA-55-7573,-0.501629123,,,,,,,,
TCGA-64-1681,-0.319182638,,,,,,,,
TCGA-05-4425,-0.215496045,,,,,,,,
TCGA-55-8203,0.016187331,,,,,,,,
TCGA-38-4631,-0.060648717,,,,,,,,
TCGA-MP-A4TH,-0.414144133,,,,,,,,
TCGA-38-4628,-0.067509571,,,,,,,,
TCGA-80-5608,0.04148952,,,,,,,,
